||Champion|Points|Rank Change|Best Player| 
|-|-|-|-|-| 
| 1 | Kha'Zix | 244.3 |🟩🔺 24| [Miky2](https://www.op.gg/summoners/na/Miky2) |
| 2 | Twitch | 223.4 |🟩🔺 44| [jimmykoi](https://www.op.gg/summoners/na/jimmykoi) |
| 3 | Malphite | 190.0 |🟩🔺 12| not played |
| 4 | Kindred | 176.2 |🟨 0| [ARMAO](https://www.op.gg/summoners/na/ARMAO) |
| 5 | Lee Sin | 160.0 |🟩🔺 15| [Music101](https://www.op.gg/summoners/na/Music101) |
| 6 | Zoe | 149.1 |🟩🔺 34| [Samikin](https://www.op.gg/summoners/na/Samikin) |
| 7 | LeBlanc | 141.3 |🟥🔻 1| [EMENES](https://www.op.gg/summoners/na/EMENES) |
| 8 | Milio | 136.5 |🟩🔺 4| [Amba Ssingh](https://www.op.gg/summoners/na/Amba Ssingh) |
| 9 | Rakan | 136.1 |🟥🔻 4| [Breezyyy](https://www.op.gg/summoners/na/Breezyyy) |
| 10 | Olaf | 127.1 |🟩🔺 28| [톱 왕](https://www.op.gg/summoners/na/톱 왕) |
| 11 | Blitzcrank | 121.2 |🟥🔻 3| [YoojungHukiriLee](https://www.op.gg/summoners/na/YoojungHukiriLee) |
| 12 | Thresh | 116.4 |🟩🔺 6| [Amba Ssingh](https://www.op.gg/summoners/na/Amba Ssingh) |
| 13 | Draven | 113.0 |🟥🔻 12| [bot line](https://www.op.gg/summoners/na/bot line) |
| 14 | Zeri | 106.9 |🟩🔺 2| [Zev](https://www.op.gg/summoners/na/Zev) |
| 15 | Jinx | 103.2 |🟥🔻 4| [Good Boi](https://www.op.gg/summoners/na/Good Boi) |
| 16 | Gragas | 101.3 |🟥🔻 9| [insung](https://www.op.gg/summoners/na/insung) |
| 17 | Karthus | 100.0 |🟥🔻 3| not played |
| 18 | Ezreal | 84.4 |🟩🔺 10| [bot line](https://www.op.gg/summoners/na/bot line) |
| 19 | Seraphine | 82.3 |🟩🔺 51| [Pockus](https://www.op.gg/summoners/na/Pockus) |
| 20 | Jayce | 78.0 |🟩🔺 10| [Stevenatør](https://www.op.gg/summoners/na/Stevenatør) |
| 21 | Nautilus | 73.3 |🟩🔺 16| [braydon](https://www.op.gg/summoners/na/braydon) |
| 22 | Elise | 70.9 |🟩🔺 10| [100 yukino](https://www.op.gg/summoners/na/100 yukino) |
| 23 | Varus | 70.2 |🟩🔺 35| [adking9](https://www.op.gg/summoners/na/adking9) |
| 24 | Sylas | 68.2 |🟩🔺 12| [HellYeahhhh](https://www.op.gg/summoners/na/HellYeahhhh) |
| 25 | Jax | 62.1 |🟥🔻 6| [Jauny12](https://www.op.gg/summoners/na/Jauny12) |
| 26 | Senna | 62.1 |🟩🔺 7| [Breezyyy](https://www.op.gg/summoners/na/Breezyyy) |
| 27 | Jhin | 59.5 |🟩🔺 55| [Bazz B](https://www.op.gg/summoners/na/Bazz B) |
| 28 | Morgana | 59.1 |🟩🔺 105| [insung](https://www.op.gg/summoners/na/insung) |
| 29 | Kennen | 58.3 |🟨 0| [Augustine](https://www.op.gg/summoners/na/Augustine) |
| 30 | Yasuo | 55.8 |🟥🔻 9| [jjking10](https://www.op.gg/summoners/na/jjking10) |
| 31 | Qiyana | 55.2 |🟩🔺 24| [pizzaman007](https://www.op.gg/summoners/na/pizzaman007) |
| 32 | Ashe | 54.6 |🟩🔺 54| [jimmykoi](https://www.op.gg/summoners/na/jimmykoi) |
| 33 | Pyke | 51.8 |🟥🔻 11| [pizzaman007](https://www.op.gg/summoners/na/pizzaman007) |
