||Champion|Points|Rank Change|Best Player| 
|-|-|-|-|-| 
| 1 | Kindred | 176 |🟩🔺 3| [Music101](https://www.op.gg/summoners/na/Music101) |
| 2 | Draven | 151 |🟥🔻 1| [SnipaXD](https://www.op.gg/summoners/na/SnipaXD) |
| 3 | Gragas | 104 |🟩🔺 4| [twtv Gryffinn](https://www.op.gg/summoners/na/twtv Gryffinn) |
| 4 | Blitzcrank | 103 |🟩🔺 4| [C9 Zven](https://www.op.gg/summoners/na/C9 Zven) |
| 5 | Milio | 102 |🟩🔺 7| [Biggest Glazer](https://www.op.gg/summoners/na/Biggest Glazer) |
| 6 | Rakan | 97 |🟥🔻 1| [C9 Zven](https://www.op.gg/summoners/na/C9 Zven) |
| 7 | Jax | 95 |🟩🔺 12| [dog kachu](https://www.op.gg/summoners/na/dog kachu) |
| 8 | Hecarim | 87 |🟩🔺 16| [gyu123987](https://www.op.gg/summoners/na/gyu123987) |
| 9 | Malphite | 81 |🟩🔺 6| [ai xiao yo](https://www.op.gg/summoners/na/ai xiao yo) |
| 10 | Thresh | 77 |🟩🔺 8| [Y4ma](https://www.op.gg/summoners/na/Y4ma) |
| 11 | Fiora | 75 |🟩🔺 20| [jjking10](https://www.op.gg/summoners/na/jjking10) |
| 12 | Jayce | 67 |🟩🔺 18| [Jauny12](https://www.op.gg/summoners/na/Jauny12) |
| 13 | Sylas | 66 |🟩🔺 23| [100 Tenacity](https://www.op.gg/summoners/na/100 Tenacity) |
| 14 | Yasuo | 65 |🟩🔺 7| [Sorde](https://www.op.gg/summoners/na/Sorde) |
| 15 | Rengar | 62 |🟥🔻 6| [No Ionger Iove](https://www.op.gg/summoners/na/No Ionger Iove) |
| 16 | Karthus | 60 |🟥🔻 2| [twtv Gryffinn](https://www.op.gg/summoners/na/twtv Gryffinn) |
| 17 | Jinx | 59 |🟥🔻 6| [Good Boi](https://www.op.gg/summoners/na/Good Boi) |
| 18 | Udyr | 53 |🟩🔺 8| [KidBeatz](https://www.op.gg/summoners/na/KidBeatz) |
| 19 | Xayah | 53 |🟥🔻 17| [Mobility3](https://www.op.gg/summoners/na/Mobility3) |
| 20 | LeBlanc | 52 |🟥🔻 14| [the pob](https://www.op.gg/summoners/na/the pob) |
| 21 | Seraphine | 52 |🟩🔺 49| [Cupic](https://www.op.gg/summoners/na/Cupic) |
| 22 | Varus | 52 |🟩🔺 36| [SnipaXD](https://www.op.gg/summoners/na/SnipaXD) |
| 23 | Aphelios | 47 |🟥🔻 13| [warcyclone](https://www.op.gg/summoners/na/warcyclone) |
