||Champion|Points|Best Player|Worst Player| 
|-|-|-|-|-| 
| 1 | Xayah | 2100.0 | [어떻게해야하려나](https://www.op.gg/summoners/kr/어떻게해야하려나) | [NS Jiwoo](https://www.op.gg/summoners/kr/NS Jiwoo) |
| 2 | Rakan | 1996.2 | [Dazbee9](https://www.op.gg/summoners/kr/Dazbee9) | [따봉 람미스](https://www.op.gg/summoners/kr/따봉 람미스) |
| 3 | Blitzcrank | 1686.5 | [KDF Andil](https://www.op.gg/summoners/kr/KDF Andil) | [PORTUGUESE GALA](https://www.op.gg/summoners/euw/PORTUGUESE GALA) |
| 4 | Lee Sin | 1574.0 | [정재호정글유튜브](https://www.op.gg/summoners/kr/정재호정글유튜브) | [키보드에음료쏟아서고장내는이도윤](https://www.op.gg/summoners/kr/키보드에음료쏟아서고장내는이도윤) |
| 5 | Aphelios | 1573.5 | [난화내](https://www.op.gg/summoners/kr/난화내) | [HLE Grizzly](https://www.op.gg/summoners/kr/HLE Grizzly) |
| 6 | Draven | 1553.5 | [Hope0](https://www.op.gg/summoners/euw/Hope0) | [ToongE](https://www.op.gg/summoners/kr/ToongE) |
| 7 | LeBlanc | 1463.0 | [저메추부탁](https://www.op.gg/summoners/kr/저메추부탁) | [QqQqQuid](https://www.op.gg/summoners/kr/QqQqQuid) |
| 8 | Kindred | 1290.8 | [Juhana](https://www.op.gg/summoners/kr/Juhana) | [정재호정글유튜브](https://www.op.gg/summoners/kr/정재호정글유튜브) |
| 9 | Nidalee | 1229.8 | [Longttime](https://www.op.gg/summoners/kr/Longttime) | [정재호정글유튜브](https://www.op.gg/summoners/kr/정재호정글유튜브) |
| 10 | Elise | 1202.0 | [정현심](https://www.op.gg/summoners/kr/정현심) | [wutian](https://www.op.gg/summoners/kr/wutian) |
| 11 | Cassiopeia | 1184.7 | [바르고고운말해여](https://www.op.gg/summoners/kr/바르고고운말해여) | [Rich3](https://www.op.gg/summoners/kr/Rich3) |
| 12 | K'Sante | 1179.2 | [재벌의 외아들](https://www.op.gg/summoners/kr/재벌의 외아들) | [T1 미드 테스트](https://www.op.gg/summoners/kr/T1 미드 테스트) |
| 13 | Zeri | 1128.2 | [daoxinwengu1](https://www.op.gg/summoners/kr/daoxinwengu1) | [오하오하](https://www.op.gg/summoners/kr/오하오하) |
| 14 | Viego | 1056.2 | [BRO Raptor](https://www.op.gg/summoners/kr/BRO Raptor) | [무릉필드 1](https://www.op.gg/summoners/kr/무릉필드 1) |
| 15 | Jinx | 975.4 | [udo1zO5x3](https://www.op.gg/summoners/kr/udo1zO5x3) | [땅우양1](https://www.op.gg/summoners/kr/땅우양1) |
| 16 | Ahri | 902.6 | [기모띠123](https://www.op.gg/summoners/kr/기모띠123) | [QuadQuad](https://www.op.gg/summoners/kr/QuadQuad) |
| 17 | Jax | 877.1 | [자신감잃지마이현](https://www.op.gg/summoners/kr/자신감잃지마이현) | [Want To Be Young](https://www.op.gg/summoners/kr/Want To Be Young) |
| 18 | Kennen | 856.0 | [Want To Be Young](https://www.op.gg/summoners/kr/Want To Be Young) | [V Julius Caesar](https://www.op.gg/summoners/euw/V Julius Caesar) |
| 19 | Sylas | 852.0 | [막스 배르스타펜](https://www.op.gg/summoners/kr/막스 배르스타펜) | [lvyepeihonghua](https://www.op.gg/summoners/kr/lvyepeihonghua) |
| 20 | Graves | 851.6 | [오뚜기3분미트볼](https://www.op.gg/summoners/kr/오뚜기3분미트볼) | [wutian](https://www.op.gg/summoners/kr/wutian) |
| 21 | Malphite | 850.3 | [미친듯이 파이팅](https://www.op.gg/summoners/kr/미친듯이 파이팅) | [ranranbaby](https://www.op.gg/summoners/kr/ranranbaby) |
| 22 | Thresh | 777.9 | [V Julius Caesar](https://www.op.gg/summoners/euw/V Julius Caesar) | [zyb](https://www.op.gg/summoners/euw/zyb) |
| 23 | Pyke | 739.1 | [123312123123](https://www.op.gg/summoners/kr/123312123123) | [Photon1](https://www.op.gg/summoners/euw/Photon1) |
| 24 | Milio | 698.0 | [Biggest Glazer](https://www.op.gg/summoners/na/Biggest Glazer) | [양과 수](https://www.op.gg/summoners/kr/양과 수) |
| 25 | Hecarim | 657.9 | [ranranbaby](https://www.op.gg/summoners/kr/ranranbaby) | [FA Chaos](https://www.op.gg/summoners/kr/FA Chaos) |
| 26 | Lissandra | 654.6 | [원광대 옥진영](https://www.op.gg/summoners/kr/원광대 옥진영) | [기모띠123](https://www.op.gg/summoners/kr/기모띠123) |
| 27 | Gragas | 635.2 | [Meteor is coming](https://www.op.gg/summoners/kr/Meteor is coming) | [Lee Chαndler](https://www.op.gg/summoners/euw/Lee Chαndler) |
| 28 | Karthus | 616.7 | [키보드에음료쏟아서고장내는이도윤](https://www.op.gg/summoners/kr/키보드에음료쏟아서고장내는이도윤) | [wo naozi buhao](https://www.op.gg/summoners/kr/wo naozi buhao) |
| 29 | Jarvan IV | 569.4 | [lao Iiu](https://www.op.gg/summoners/kr/lao Iiu) | [타 잔](https://www.op.gg/summoners/kr/타 잔) |
| 30 | Vi | 537.1 | [BRO Raptor](https://www.op.gg/summoners/kr/BRO Raptor) | [반오십의 희망](https://www.op.gg/summoners/kr/반오십의 희망) |
| 31 | Yasuo | 521.8 | [qweraszcdfgtyu](https://www.op.gg/summoners/kr/qweraszcdfgtyu) | [2BoneMcCuboneTTV](https://www.op.gg/summoners/na/2BoneMcCuboneTTV) |
