||Champion|Points|Best Player|Worst Player| 
|-|-|-|-|-| 
| 1 | Rakan | 910.2 | [BRO Gyosoo](https://www.op.gg/summoners/kr/BRO Gyosoo) | [씨맥당신은틀렸어](https://www.op.gg/summoners/kr/씨맥당신은틀렸어) |
| 2 | Xayah | 785.2 | [어떻게해야하려나](https://www.op.gg/summoners/kr/어떻게해야하려나) | [udo1zO5x3](https://www.op.gg/summoners/kr/udo1zO5x3) |
| 3 | Aphelios | 659.2 | [난화내](https://www.op.gg/summoners/kr/난화내) | [HLE Grizzly](https://www.op.gg/summoners/kr/HLE Grizzly) |
| 4 | Lee Sin | 639.0 | [Draven696969](https://www.op.gg/summoners/na/Draven696969) | [따봉 람미스](https://www.op.gg/summoners/kr/따봉 람미스) |
| 5 | Kindred | 610.8 | [Juhana](https://www.op.gg/summoners/kr/Juhana) | [무릉필드 1](https://www.op.gg/summoners/kr/무릉필드 1) |
| 6 | Draven | 520.4 | [Hope0](https://www.op.gg/summoners/euw1/Hope0) | [niinim](https://www.op.gg/summoners/na/niinim) |
| 7 | Zeri | 518.6 | [daoxinwengu1](https://www.op.gg/summoners/kr/daoxinwengu1) | [KARELIASABUSER69](https://www.op.gg/summoners/euw/KARELIASABUSER69) |
| 8 | Blitzcrank | 499.6 | [KDF Andil](https://www.op.gg/summoners/kr/KDF Andil) | [PORTUGUESE GALA](https://www.op.gg/summoners/euw/PORTUGUESE GALA) |
| 9 | Sylas | 496.4 | [막스 배르스타펜](https://www.op.gg/summoners/kr/막스 배르스타펜) | [TYPE R12SCF](https://www.op.gg/summoners/euw/TYPE R12SCF) |
| 10 | Lissandra | 469.2 | [원광대 옥진영](https://www.op.gg/summoners/kr/원광대 옥진영) | [기모띠123](https://www.op.gg/summoners/kr/기모띠123) |
| 11 | Cassiopeia | 437.6 | [Faker SIayer](https://www.op.gg/summoners/euw/Faker SIayer) | [마가가 소가죽](https://www.op.gg/summoners/kr/마가가 소가죽) |
| 12 | LeBlanc | 431.8 | [animalcrossing42](https://www.op.gg/summoners/na/animalcrossing42) | [미친듯이 파이팅](https://www.op.gg/summoners/kr/미친듯이 파이팅) |
| 13 | Graves | 423.4 | [키보드에음료쏟아서고장내는이도윤](https://www.op.gg/summoners/kr/키보드에음료쏟아서고장내는이도윤) | [GO lyncas](https://www.op.gg/summoners/euw/GO lyncas) |
| 14 | Jax | 397.8 | [심류슈](https://www.op.gg/summoners/kr/심류슈) | [u good me better](https://www.op.gg/summoners/euw/u good me better) |
| 15 | Viego | 393.8 | [BRO Raptor](https://www.op.gg/summoners/kr/BRO Raptor) | [무릉필드 1](https://www.op.gg/summoners/kr/무릉필드 1) |
| 16 | Ahri | 390.6 | [Faker SIayer](https://www.op.gg/summoners/euw/Faker SIayer) | [무릉필드 1](https://www.op.gg/summoners/kr/무릉필드 1) |
| 17 | Malphite | 339.8 | [미친듯이 파이팅](https://www.op.gg/summoners/kr/미친듯이 파이팅) | [ranranbaby](https://www.op.gg/summoners/kr/ranranbaby) |
| 18 | Thresh | 328.6 | [미니웅즈](https://www.op.gg/summoners/kr/미니웅즈) | [zyb](https://www.op.gg/summoners/euw/zyb) |
| 19 | Elise | 305.2 | [HamBak](https://www.op.gg/summoners/kr/HamBak) | [wutian](https://www.op.gg/summoners/kr/wutian) |
| 20 | K'Sante | 302.0 | [ALVAROARBELOA17](https://www.op.gg/summoners/euw1/ALVAROARBELOA17) | [Maynter](https://www.op.gg/summoners/euw/Maynter) |
| 21 | Milio | 295.4 | [NORDKASING](https://www.op.gg/summoners/euw/NORDKASING) | [렐서폿](https://www.op.gg/summoners/kr/렐서폿) |
| 22 | Kennen | 294.4 | [asd233](https://www.op.gg/summoners/kr/asd233) | [V Julius Caesar](https://www.op.gg/summoners/euw/V Julius Caesar) |
| 23 | Karthus | 287.2 | [마가가 소가죽](https://www.op.gg/summoners/kr/마가가 소가죽) | [viasdkjkasd](https://www.op.gg/summoners/kr/viasdkjkasd) |
| 24 | Jinx | 284.6 | [Quotrell grrr](https://www.op.gg/summoners/euw/Quotrell grrr) | [포소포소](https://www.op.gg/summoners/kr/포소포소) |
