||Rating|Spec|Player| 
|-|-|-|-| 
| 1 | 3577 | druid/balance | Rudar |          
| 2 | 3565 | paladin/retribution | Vanguards |          
| 3 | 3565 | warlock/demonology | Rivstur |          
| 4 | 3562 | warlock/demonology | Soulruler |          
| 5 | 3549 | hunter/beastmastery | Mentalcapped |          
| 6 | 3547 | druid/balance | Raïsin |          
| 7 | 3535 | paladin/retribution | Súpxd |          
| 8 | 3534 | warlock/demonology | Muchopower |          
| 9 | 3531 | druid/balance | Falstann |          
| 10 | 3531 | paladin/retribution | Trickypally |          
| 11 | 3530 | hunter/beastmastery | Saiiph |          
| 12 | 3529 | shaman/enhancement | Askronnie |          
| 13 | 3528 | paladin/retribution | Kratosq |          
| 14 | 3526 | warlock/demonology | Bronzel |          
| 15 | 3525 | warlock/demonology | Lsr |          
| 16 | 3522 | paladin/retribution | Sneakyhammer |          
| 17 | 3521 | hunter/beastmastery | Maxlol |          
| 18 | 3521 | warlock/demonology | Tcchiu |          
| 19 | 3520 | paladin/retribution | Xeniél |          
| 20 | 3520 | paladin/retribution | Hojdin |          
| 21 | 3520 | paladin/retribution | Teniale |          
| 22 | 3520 | shaman/enhancement | Askbertie |          
| 23 | 3520 | warlock/demonology | Dreadlock |          
| 24 | 3519 | druid/balance | Watchmeclone |          
| 25 | 3518 | paladin/retribution | Vânguards |          
| 26 | 3518 | shaman/elemental | Shroöm |          
| 27 | 3518 | warlock/demonology | Bronzerl |          
| 28 | 3518 | warlock/demonology | Conboii |          
| 29 | 3517 | druid/balance | Kraljvis |          
| 30 | 3517 | paladin/retribution | Divenelena |          
| 31 | 3516 | warlock/destruction | Thugonomicz |          
| 32 | 3516 | warlock/destruction | Nozomx |          
| 33 | 3514 | demonhunter/havoc | Revzxy |          
| 34 | 3514 | paladin/retribution | Iililílilil |          
| 35 | 3512 | paladin/retribution | Dazedpal |          
| 36 | 3511 | paladin/retribution | Çhñkzrèt |          
| 37 | 3510 | warlock/demonology | Yunaka |          
| 38 | 3509 | warlock/demonology | Redfish |          
| 39 | 3508 | paladin/retribution | Szeq |          
| 40 | 3507 | demonhunter/havoc | Noobender |          
| 41 | 3505 | paladin/retribution | Angelguards |          
| 42 | 3505 | shaman/elemental | Meatbeaterx |          
| 43 | 3504 | mage/frost | Emìlia |          
| 44 | 3502 | mage/arcane | Junglejape |          
| 45 | 3501 | monk/windwalker | Iminglee |          
| 46 | 3501 | paladin/retribution | Rexpeitaboot |          
| 47 | 3500 | paladin/retribution | Wonderbread |          
| 48 | 3500 | paladin/retribution | Holychris |          
| 49 | 3500 | paladin/retribution | Uneazyxx |          
| 50 | 3500 | warlock/demonology | Cidkagenou |          
| 51 | 3499 | mage/frost | Aeghis |          
| 52 | 3498 | warlock/destruction | Moóndust |          
| 53 | 3497 | paladin/retribution | Pambeazley |          
| 54 | 3497 | warlock/demonology | Baiw |          
| 55 | 3497 | warlock/demonology | Drakatat |          
| 56 | 3497 | warlock/destruction | Nozomm |          
| 57 | 3496 | druid/balance | Pannaxx |          
| 58 | 3496 | hunter/beastmastery | Robotwo |          
| 59 | 3496 | monk/windwalker | Thewy |          
| 60 | 3496 | paladin/retribution | Maxduo |          
| 61 | 3495 | paladin/retribution | Angèlguàrds |          
| 62 | 3494 | warrior/arms | Swifty |          
| 63 | 3490 | druid/balance | Supatease |          
| 64 | 3490 | warlock/demonology | Nos |          
| 65 | 3488 | paladin/retribution | Crudos |          
| 66 | 3488 | paladin/retribution | Côndemned |          
