||Rating|Spec|Player| 
|-|-|-|-| 
| 1 | 3577 | ⚔️ Druid 🟠 Balance | [Rudar](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/rudar) |          
| 2 | 3565 | ⚔️ Paladin 🌸 Retribution | [Vanguards](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/vanguards) |          
| 3 | 3565 | ⚔️ Warlock 🔮 Demonology | [Rivstur](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rivstur) |          
| 4 | 3562 | ⚔️ Warlock 🔮 Demonology | [Soulruler](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/soulruler) |          
| 5 | 3549 | ⚔️ Hunter 🦖 Beastmastery | [Mentalcapped](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/mentalcapped) |          
| 6 | 3547 | ⚔️ Druid 🟠 Balance | [Raïsin](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/raïsin) |          
| 7 | 3535 | ⚔️ Paladin 🌸 Retribution | [Súpxd](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/súpxd) |          
| 8 | 3534 | ⚔️ Warlock 🔮 Demonology | [Muchopower](https://worldofwarcraft.blizzard.com/en-us/character/us/ragnaros/muchopower) |          
| 9 | 3531 | ⚔️ Druid 🟠 Balance | [Falstann](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/falstann) |          
| 10 | 3530 | ⚔️ Hunter 🦖 Beastmastery | [Saiiph](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/saiiph) |          
| 11 | 3529 | ⚔️ Shaman 🔵 Enhancement | [Askronnie](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/askronnie) |          
| 12 | 3528 | ⚔️ Paladin 🌸 Retribution | [Kratosq](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/kratosq) |          
