&nbsp;   
__Top 100 Player and what they play__   
               
||Rating|Spec|Player| 
|-|-|-|-| 
| 1 | 3577 | ⚔️🟠 Druid Balance | [Rudar](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/rudar) |          
| 2 | 3565 | ⚔️🌸 Paladin Retribution | [Vanguards](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/vanguards) |          
| 3 | 3565 | ⚔️🔮 Warlock Demonology | [Rivstur](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rivstur) |          
| 4 | 3562 | ⚔️🔮 Warlock Demonology | [Soulruler](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/soulruler) |          
| 5 | 3553 | ⚔️🔮 Warlock Destruction | [Roopx](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/roopx) |          
| 6 | 3549 | ⚔️🦖 Hunter Beastmastery | [Mentalcapped](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/mentalcapped) |          
| 7 | 3547 | ⚔️🟠 Druid Balance | [Raïsin](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/raïsin) |          
| 8 | 3537 | ⚔️🌸 Paladin Retribution | [Dronedròp](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/dronedròp) |          
| 9 | 3535 | ⚔️🌸 Paladin Retribution | [Súpxd](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/súpxd) |          
| 10 | 3534 | ⚔️🔮 Warlock Demonology | [Muchopower](https://worldofwarcraft.blizzard.com/en-us/character/us/ragnaros/muchopower) |          
| 11 | 3531 | ⚔️🟠 Druid Balance | [Falstann](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/falstann) |          
| 12 | 3531 | ⚔️🔮 Warlock Demonology | [Bronzerl](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bronzerl) |          
